"filename", "language", "HTML", "XML", "JavaScript", "CSS", "Java", "comment", "blank", "total"
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\ProviderBean.java", "Java", 0, 0, 0, 0, 128, 1, 40, 169
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\managedBeans\registration\SuperAdminBean.java", "Java", 0, 0, 0, 0, 121, 1, 40, 162
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\AccommodationService.java", "Java", 0, 0, 0, 0, 86, 11, 33, 130
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\CartService.java", "Java", 0, 0, 0, 0, 175, 28, 32, 235
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\ICartService.java", "Java", 0, 0, 0, 0, 14, 0, 13, 27
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\RestaurantService.java", "Java", 0, 0, 0, 0, 82, 12, 22, 116
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\ServiceService.java", "Java", 0, 0, 0, 0, 54, 0, 15, 69
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\TourPackageService.java", "Java", 0, 0, 0, 0, 57, 33, 22, 112
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\TransportationService.java", "Java", 0, 0, 0, 0, 86, 5, 28, 119
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\services\UserService.java", "Java", 0, 0, 0, 0, 227, 9, 79, 315
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\CartViewModel.java", "Java", 0, 0, 0, 0, 52, 0, 18, 70
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\LoginViewModel.java", "Java", 0, 0, 0, 0, 5, 0, 2, 7
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\ServiceViewModel.java", "Java", 0, 0, 0, 0, 71, 0, 8, 79
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\SubServicesViewModel.java", "Java", 0, 0, 0, 0, 188, 3, 69, 260
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\TourPackageFormViewModel.java", "Java", 0, 0, 0, 0, 122, 6, 50, 178
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\java\triphub\viewModel\UserViewModel.java", "Java", 0, 0, 0, 0, 354, 0, 115, 469
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\resources\META-INF\persistence.xml", "XML", 0, 18, 0, 0, 0, 1, 8, 27
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\beans.xml", "XML", 0, 6, 0, 0, 0, 17, 1, 24
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\faces-config.xml", "XML", 0, 107, 0, 0, 0, 1, 4, 112
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\Subscription_template.xhtml", "HTML", 55, 0, 0, 0, 0, 6, 7, 68
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\navTemplate.xhtml", "HTML", 171, 0, 0, 0, 0, 7, 33, 211
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\organizer_template.xhtml", "HTML", 70, 0, 0, 0, 0, 6, 7, 83
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\provider_template.xhtml", "HTML", 66, 0, 0, 0, 0, 6, 7, 79
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\testNav.xhtml", "HTML", 117, 0, 0, 0, 0, 5, 20, 142
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\templates\websiteTemplate.xhtml", "HTML", 55, 0, 0, 0, 0, 1, 5, 61
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\WEB-INF\web.xml", "XML", 0, 23, 0, 0, 0, 5, 8, 36
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\advanced.css", "CSS", 0, 0, 0, 158, 0, 8, 37, 203
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\basic.css", "CSS", 0, 0, 0, 199, 0, 10, 38, 247
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\bootstrap.min.css", "CSS", 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\checkout.css", "CSS", 0, 0, 0, 245, 0, 3, 45, 293
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\customer_home.css", "CSS", 0, 0, 0, 124, 0, 1, 33, 158
"c:\Users\Marie LEVESQUE\OneDrive\Documents\ISIKA\MODULE 3\PROJET 3\TripHub\src\main\webapp\resources\css\details.css", "CSS", 0, 0, 0, 32, 0, 0, 6, 38
